Student,StepID,Correct,KC_1,P(L)1,P(C)1,KC_27,P(L)27,P(C)27,KC_24,P(L)24,P(C)24,KC_14,P(L)14,P(C)14,KC_22,P(L)22,P(C)22,KC_20,P(L)20,P(C)20,KC_21,P(L)21,P(C)21
stu339,477,1,0,0.500,0.500,1,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500
stu339,481,1,0,0.500,0.500,1,0.550,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500
stu339,538,1,0,0.500,0.500,0,0.550,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,1,0.550,0.500
stu339,593,0,0,0.500,0.500,0,0.550,0.500,0,0.500,0.500,0,0.500,0.500,1,0.190,0.500,0,0.500,0.500,0,0.550,0.500
stu339,596,1,0,0.500,0.500,0,0.550,0.500,0,0.500,0.500,0,0.500,0.500,1,0.271,0.252,0,0.500,0.500,0,0.550,0.500
stu339,597,1,0,0.500,0.500,0,0.550,0.500,0,0.500,0.500,0,0.500,0.500,1,0.344,0.317,0,0.500,0.500,0,0.550,0.500
stu339,688,1,0,0.500,0.500,0,0.550,0.500,0,0.500,0.500,0,0.500,0.500,1,0.410,0.375,0,0.500,0.500,0,0.550,0.500
stu339,693,1,0,0.500,0.500,0,0.550,0.500,0,0.500,0.500,0,0.500,0.500,1,0.469,0.428,0,0.500,0.500,0,0.550,0.500
stu339,698,1,0,0.500,0.500,0,0.550,0.500,0,0.500,0.500,0,0.500,0.500,1,0.522,0.475,0,0.500,0.500,0,0.550,0.500
stu339,712,1,0,0.500,0.500,0,0.550,0.500,0,0.500,0.500,0,0.500,0.500,0,0.522,0.475,0,0.500,0.500,1,0.595,0.540
stu339,740,1,0,0.500,0.500,0,0.550,0.500,1,0.550,0.500,0,0.500,0.500,0,0.522,0.475,0,0.500,0.500,0,0.595,0.540
stu339,797,1,0,0.500,0.500,0,0.550,0.500,0,0.550,0.500,0,0.500,0.500,0,0.522,0.475,1,0.550,0.500,0,0.595,0.540
stu339,800,1,0,0.500,0.500,0,0.550,0.500,0,0.550,0.500,0,0.500,0.500,0,0.522,0.475,0,0.550,0.500,1,0.636,0.576
stu339,808,1,0,0.500,0.500,0,0.550,0.500,0,0.550,0.500,0,0.500,0.500,0,0.522,0.475,0,0.550,0.500,1,0.672,0.608
stu339,904,1,0,0.500,0.500,0,0.550,0.500,1,0.595,0.540,0,0.500,0.500,0,0.522,0.475,0,0.550,0.500,0,0.672,0.608
stu339,939,1,0,0.500,0.500,1,0.595,0.540,0,0.595,0.540,0,0.500,0.500,0,0.522,0.475,0,0.550,0.500,0,0.672,0.608
stu339,974,1,0,0.500,0.500,0,0.595,0.540,1,0.636,0.576,0,0.500,0.500,0,0.522,0.475,0,0.550,0.500,0,0.672,0.608
stu339,986,1,0,0.500,0.500,0,0.595,0.540,0,0.636,0.576,0,0.500,0.500,0,0.522,0.475,0,0.550,0.500,1,0.705,0.638
stu339,1490,1,1,0.550,0.500,0,0.595,0.540,0,0.636,0.576,0,0.500,0.500,0,0.522,0.475,0,0.550,0.500,0,0.705,0.638
stu339,1494,1,1,0.595,0.540,0,0.595,0.540,0,0.636,0.576,0,0.500,0.500,0,0.522,0.475,0,0.550,0.500,0,0.705,0.638
stu339,1497,1,1,0.636,0.576,0,0.595,0.540,0,0.636,0.576,0,0.500,0.500,0,0.522,0.475,0,0.550,0.500,0,0.705,0.638
stu339,1558,1,0,0.636,0.576,1,0.636,0.576,0,0.636,0.576,0,0.500,0.500,0,0.522,0.475,0,0.550,0.500,0,0.705,0.638
stu339,1738,1,0,0.636,0.576,0,0.636,0.576,0,0.636,0.576,0,0.500,0.500,0,0.522,0.475,0,0.550,0.500,1,0.734,0.664
stu339,1821,1,0,0.636,0.576,0,0.636,0.576,0,0.636,0.576,1,0.550,0.500,0,0.522,0.475,0,0.550,0.500,0,0.734,0.664
stu339,1863,1,0,0.636,0.576,0,0.636,0.576,1,0.672,0.608,0,0.550,0.500,0,0.522,0.475,0,0.550,0.500,0,0.734,0.664
stu339,1864,1,0,0.636,0.576,0,0.636,0.576,1,0.705,0.638,0,0.550,0.500,0,0.522,0.475,0,0.550,0.500,0,0.734,0.664
stu339,1873,1,0,0.636,0.576,0,0.636,0.576,1,0.734,0.664,0,0.550,0.500,0,0.522,0.475,0,0.550,0.500,0,0.734,0.664
stu339,1901,1,0,0.636,0.576,0,0.636,0.576,0,0.734,0.664,0,0.550,0.500,0,0.522,0.475,1,0.595,0.540,0,0.734,0.664
stu339,1917,1,0,0.636,0.576,0,0.636,0.576,0,0.734,0.664,0,0.550,0.500,0,0.522,0.475,1,0.636,0.576,0,0.734,0.664
stu339,1927,1,0,0.636,0.576,0,0.636,0.576,0,0.734,0.664,0,0.550,0.500,0,0.522,0.475,1,0.672,0.608,0,0.734,0.664
stu339,1934,1,0,0.636,0.576,0,0.636,0.576,1,0.761,0.687,0,0.550,0.500,0,0.522,0.475,0,0.672,0.608,0,0.734,0.664
stu339,1957,1,0,0.636,0.576,0,0.636,0.576,0,0.761,0.687,0,0.550,0.500,0,0.522,0.475,1,0.705,0.638,0,0.734,0.664
stu339,1969,1,0,0.636,0.576,0,0.636,0.576,0,0.761,0.687,0,0.550,0.500,0,0.522,0.475,0,0.705,0.638,1,0.761,0.687
stu339,1997,1,0,0.636,0.576,0,0.636,0.576,0,0.761,0.687,0,0.550,0.500,0,0.522,0.475,0,0.705,0.638,1,0.785,0.709
stu339,2002,1,0,0.636,0.576,0,0.636,0.576,1,0.785,0.709,0,0.550,0.500,0,0.522,0.475,0,0.705,0.638,0,0.785,0.709
stu339,2006,1,0,0.636,0.576,0,0.636,0.576,0,0.785,0.709,0,0.550,0.500,0,0.522,0.475,0,0.705,0.638,1,0.806,0.728
stu339,2016,0,0,0.636,0.576,0,0.636,0.576,0,0.785,0.709,0,0.550,0.500,0,0.522,0.475,0,0.705,0.638,1,0.385,0.745
stu339,2017,1,0,0.636,0.576,0,0.636,0.576,0,0.785,0.709,0,0.550,0.500,0,0.522,0.475,0,0.705,0.638,1,0.446,0.408
stu339,2018,1,0,0.636,0.576,0,0.636,0.576,0,0.785,0.709,0,0.550,0.500,0,0.522,0.475,0,0.705,0.638,1,0.502,0.457
