Student,StepID,Correct,KC_1,P(L)1,P(C)1,KC_27,P(L)27,P(C)27,KC_24,P(L)24,P(C)24,KC_14,P(L)14,P(C)14,KC_22,P(L)22,P(C)22,KC_20,P(L)20,P(C)20,KC_21,P(L)21,P(C)21
stu359,481,1,0,0.500,0.500,1,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500
stu359,507,0,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,1,0.190,0.500,0,0.500,0.500
stu359,538,1,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.190,0.500,1,0.550,0.500
stu359,593,0,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,1,0.190,0.500,0,0.190,0.500,0,0.550,0.500
stu359,596,1,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,1,0.271,0.252,0,0.190,0.500,0,0.550,0.500
stu359,597,1,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,1,0.344,0.317,0,0.190,0.500,0,0.550,0.500
stu359,686,1,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,1,0.410,0.375,0,0.190,0.500,0,0.550,0.500
stu359,698,1,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,1,0.469,0.428,0,0.190,0.500,0,0.550,0.500
stu359,700,1,0,0.500,0.500,1,0.550,0.500,0,0.500,0.500,0,0.500,0.500,0,0.469,0.428,0,0.190,0.500,0,0.550,0.500
stu359,709,1,0,0.500,0.500,0,0.550,0.500,0,0.500,0.500,0,0.500,0.500,0,0.469,0.428,0,0.190,0.500,1,0.595,0.540
stu359,733,0,0,0.500,0.500,0,0.550,0.500,1,0.190,0.500,0,0.500,0.500,0,0.469,0.428,0,0.190,0.500,0,0.595,0.540
stu359,741,0,0,0.500,0.500,0,0.550,0.500,1,0.123,0.252,0,0.500,0.500,0,0.469,0.428,0,0.190,0.500,0,0.595,0.540
stu359,800,1,0,0.500,0.500,0,0.550,0.500,0,0.123,0.252,0,0.500,0.500,0,0.469,0.428,0,0.190,0.500,1,0.636,0.576
stu359,808,1,0,0.500,0.500,0,0.550,0.500,0,0.123,0.252,0,0.500,0.500,0,0.469,0.428,0,0.190,0.500,1,0.672,0.608
stu359,905,1,0,0.500,0.500,0,0.550,0.500,1,0.211,0.198,0,0.500,0.500,0,0.469,0.428,0,0.190,0.500,0,0.672,0.608
stu359,975,0,0,0.500,0.500,0,0.550,0.500,1,0.126,0.268,0,0.500,0.500,0,0.469,0.428,0,0.190,0.500,0,0.672,0.608
stu359,1305,1,0,0.500,0.500,0,0.550,0.500,0,0.126,0.268,0,0.500,0.500,0,0.469,0.428,1,0.271,0.252,0,0.672,0.608
stu359,1310,1,0,0.500,0.500,0,0.550,0.500,1,0.213,0.201,0,0.500,0.500,0,0.469,0.428,0,0.271,0.252,0,0.672,0.608
stu359,1316,1,0,0.500,0.500,1,0.595,0.540,0,0.213,0.201,0,0.500,0.500,0,0.469,0.428,0,0.271,0.252,0,0.672,0.608
stu359,1327,1,0,0.500,0.500,0,0.595,0.540,1,0.292,0.271,0,0.500,0.500,0,0.469,0.428,0,0.271,0.252,0,0.672,0.608
stu359,1356,1,0,0.500,0.500,0,0.595,0.540,1,0.363,0.334,0,0.500,0.500,0,0.469,0.428,0,0.271,0.252,0,0.672,0.608
stu359,1429,1,0,0.500,0.500,0,0.595,0.540,0,0.363,0.334,0,0.500,0.500,1,0.522,0.475,0,0.271,0.252,0,0.672,0.608
stu359,1486,1,1,0.550,0.500,0,0.595,0.540,0,0.363,0.334,0,0.500,0.500,0,0.522,0.475,0,0.271,0.252,0,0.672,0.608
stu359,1490,1,1,0.595,0.540,0,0.595,0.540,0,0.363,0.334,0,0.500,0.500,0,0.522,0.475,0,0.271,0.252,0,0.672,0.608
stu359,1498,0,1,0.226,0.576,0,0.595,0.540,0,0.363,0.334,0,0.500,0.500,0,0.522,0.475,0,0.271,0.252,0,0.672,0.608
