Student,StepID,Correct,KC_1,P(L)1,P(C)1,KC_27,P(L)27,P(C)27,KC_24,P(L)24,P(C)24,KC_14,P(L)14,P(C)14,KC_22,P(L)22,P(C)22,KC_20,P(L)20,P(C)20,KC_21,P(L)21,P(C)21
stu165,478,0,0,0.500,0.500,1,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500
stu165,484,1,0,0.500,0.500,1,0.550,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500
stu165,485,1,0,0.500,0.500,1,0.595,0.540,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500
stu165,506,1,0,0.500,0.500,0,0.595,0.540,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,1,0.550,0.500,0,0.500,0.500
stu165,545,1,0,0.500,0.500,0,0.595,0.540,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.550,0.500,1,0.550,0.500
stu165,549,1,0,0.500,0.500,0,0.595,0.540,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.550,0.500,1,0.595,0.540
stu165,585,1,0,0.500,0.500,0,0.595,0.540,0,0.500,0.500,0,0.500,0.500,1,0.550,0.500,0,0.550,0.500,0,0.595,0.540
stu165,599,1,0,0.500,0.500,0,0.595,0.540,0,0.500,0.500,0,0.500,0.500,1,0.595,0.540,0,0.550,0.500,0,0.595,0.540
stu165,686,1,0,0.500,0.500,0,0.595,0.540,0,0.500,0.500,0,0.500,0.500,1,0.636,0.576,0,0.550,0.500,0,0.595,0.540
stu165,698,1,0,0.500,0.500,0,0.595,0.540,0,0.500,0.500,0,0.500,0.500,1,0.672,0.608,0,0.550,0.500,0,0.595,0.540
stu165,700,1,0,0.500,0.500,1,0.636,0.576,0,0.500,0.500,0,0.500,0.500,0,0.672,0.608,0,0.550,0.500,0,0.595,0.540
stu165,709,1,0,0.500,0.500,0,0.636,0.576,0,0.500,0.500,0,0.500,0.500,0,0.672,0.608,0,0.550,0.500,1,0.636,0.576
stu165,733,0,0,0.500,0.500,0,0.636,0.576,1,0.190,0.500,0,0.500,0.500,0,0.672,0.608,0,0.550,0.500,0,0.636,0.576
stu165,740,1,0,0.500,0.500,0,0.636,0.576,1,0.271,0.252,0,0.500,0.500,0,0.672,0.608,0,0.550,0.500,0,0.636,0.576
stu165,757,1,0,0.500,0.500,0,0.636,0.576,1,0.344,0.317,0,0.500,0.500,0,0.672,0.608,0,0.550,0.500,0,0.636,0.576
stu165,797,1,0,0.500,0.500,0,0.636,0.576,0,0.344,0.317,0,0.500,0.500,0,0.672,0.608,1,0.595,0.540,0,0.636,0.576
stu165,804,1,0,0.500,0.500,0,0.636,0.576,0,0.344,0.317,0,0.500,0.500,0,0.672,0.608,0,0.595,0.540,1,0.672,0.608
stu165,820,1,0,0.500,0.500,0,0.636,0.576,0,0.344,0.317,0,0.500,0.500,0,0.672,0.608,0,0.595,0.540,1,0.705,0.638
stu165,863,1,0,0.500,0.500,0,0.636,0.576,0,0.344,0.317,0,0.500,0.500,1,0.705,0.638,0,0.595,0.540,0,0.705,0.638
stu165,904,1,0,0.500,0.500,0,0.636,0.576,1,0.410,0.375,0,0.500,0.500,0,0.705,0.638,0,0.595,0.540,0,0.705,0.638
stu165,939,1,0,0.500,0.500,1,0.672,0.608,0,0.410,0.375,0,0.500,0.500,0,0.705,0.638,0,0.595,0.540,0,0.705,0.638
stu165,974,1,0,0.500,0.500,0,0.672,0.608,1,0.469,0.428,0,0.500,0.500,0,0.705,0.638,0,0.595,0.540,0,0.705,0.638
stu165,986,1,0,0.500,0.500,0,0.672,0.608,0,0.469,0.428,0,0.500,0.500,0,0.705,0.638,0,0.595,0.540,1,0.734,0.664
stu165,1067,1,0,0.500,0.500,0,0.672,0.608,0,0.469,0.428,0,0.500,0.500,1,0.734,0.664,0,0.595,0.540,0,0.734,0.664
stu165,1305,1,0,0.500,0.500,0,0.672,0.608,0,0.469,0.428,0,0.500,0.500,0,0.734,0.664,1,0.636,0.576,0,0.734,0.664
stu165,1310,1,0,0.500,0.500,0,0.672,0.608,1,0.522,0.475,0,0.500,0.500,0,0.734,0.664,0,0.636,0.576,0,0.734,0.664
stu165,1313,1,0,0.500,0.500,0,0.672,0.608,1,0.570,0.517,0,0.500,0.500,0,0.734,0.664,0,0.636,0.576,0,0.734,0.664
stu165,1314,1,0,0.500,0.500,1,0.705,0.638,0,0.570,0.517,0,0.500,0.500,0,0.734,0.664,0,0.636,0.576,0,0.734,0.664
stu165,1323,1,0,0.500,0.500,0,0.705,0.638,1,0.613,0.556,0,0.500,0.500,0,0.734,0.664,0,0.636,0.576,0,0.734,0.664
stu165,1324,1,0,0.500,0.500,0,0.705,0.638,1,0.651,0.590,0,0.500,0.500,0,0.734,0.664,0,0.636,0.576,0,0.734,0.664
stu165,1356,1,0,0.500,0.500,0,0.705,0.638,1,0.686,0.621,0,0.500,0.500,0,0.734,0.664,0,0.636,0.576,0,0.734,0.664
stu165,1429,1,0,0.500,0.500,0,0.705,0.638,0,0.686,0.621,0,0.500,0.500,1,0.761,0.687,0,0.636,0.576,0,0.734,0.664
stu165,1490,1,1,0.550,0.500,0,0.705,0.638,0,0.686,0.621,0,0.500,0.500,0,0.761,0.687,0,0.636,0.576,0,0.734,0.664
stu165,1494,1,1,0.595,0.540,0,0.705,0.638,0,0.686,0.621,0,0.500,0.500,0,0.761,0.687,0,0.636,0.576,0,0.734,0.664
stu165,1497,1,1,0.636,0.576,0,0.705,0.638,0,0.686,0.621,0,0.500,0.500,0,0.761,0.687,0,0.636,0.576,0,0.734,0.664
stu165,1584,1,0,0.636,0.576,0,0.705,0.638,0,0.686,0.621,0,0.500,0.500,1,0.785,0.709,0,0.636,0.576,1,0.761,0.687
stu165,1625,1,0,0.636,0.576,1,0.734,0.664,0,0.686,0.621,0,0.500,0.500,0,0.785,0.709,0,0.636,0.576,0,0.761,0.687
stu165,1677,1,0,0.636,0.576,0,0.734,0.664,0,0.686,0.621,0,0.500,0.500,0,0.785,0.709,1,0.672,0.608,0,0.761,0.687
stu165,1873,1,0,0.636,0.576,0,0.734,0.664,1,0.718,0.649,0,0.500,0.500,0,0.785,0.709,0,0.672,0.608,0,0.761,0.687
stu165,1901,1,0,0.636,0.576,0,0.734,0.664,0,0.718,0.649,0,0.500,0.500,0,0.785,0.709,1,0.705,0.638,0,0.761,0.687
stu165,1927,1,0,0.636,0.576,0,0.734,0.664,0,0.718,0.649,0,0.500,0.500,0,0.785,0.709,1,0.734,0.664,0,0.761,0.687
stu165,1934,1,0,0.636,0.576,0,0.734,0.664,1,0.746,0.674,0,0.500,0.500,0,0.785,0.709,0,0.734,0.664,0,0.761,0.687
stu165,1943,1,0,0.636,0.576,0,0.734,0.664,0,0.746,0.674,0,0.500,0.500,0,0.785,0.709,1,0.761,0.687,0,0.761,0.687
stu165,1968,1,0,0.636,0.576,0,0.734,0.664,0,0.746,0.674,0,0.500,0.500,0,0.785,0.709,0,0.761,0.687,1,0.785,0.709
stu165,1980,1,0,0.636,0.576,0,0.734,0.664,0,0.746,0.674,0,0.500,0.500,0,0.785,0.709,0,0.761,0.687,1,0.806,0.728
stu165,2002,1,0,0.636,0.576,0,0.734,0.664,1,0.771,0.697,0,0.500,0.500,0,0.785,0.709,0,0.761,0.687,0,0.806,0.728
stu165,2030,1,0,0.636,0.576,0,0.734,0.664,1,0.794,0.717,0,0.500,0.500,0,0.785,0.709,0,0.761,0.687,0,0.806,0.728
stu165,2034,1,0,0.636,0.576,0,0.734,0.664,1,0.815,0.735,0,0.500,0.500,0,0.785,0.709,0,0.761,0.687,0,0.806,0.728
stu165,2038,1,0,0.636,0.576,0,0.734,0.664,1,0.833,0.752,0,0.500,0.500,0,0.785,0.709,0,0.761,0.687,0,0.806,0.728
stu165,2056,1,0,0.636,0.576,0,0.734,0.664,1,0.850,0.767,0,0.500,0.500,0,0.785,0.709,0,0.761,0.687,0,0.806,0.728
stu165,2083,1,0,0.636,0.576,1,0.761,0.687,0,0.850,0.767,0,0.500,0.500,0,0.785,0.709,0,0.761,0.687,0,0.806,0.728
stu165,2088,1,0,0.636,0.576,1,0.785,0.709,0,0.850,0.767,0,0.500,0.500,0,0.785,0.709,0,0.761,0.687,0,0.806,0.728
stu165,2092,1,0,0.636,0.576,1,0.806,0.728,0,0.850,0.767,0,0.500,0.500,0,0.785,0.709,0,0.761,0.687,0,0.806,0.728
stu165,2114,1,0,0.636,0.576,1,0.826,0.745,0,0.850,0.767,0,0.500,0.500,0,0.785,0.709,0,0.761,0.687,0,0.806,0.728
stu165,2120,1,0,0.636,0.576,1,0.843,0.761,0,0.850,0.767,0,0.500,0.500,0,0.785,0.709,0,0.761,0.687,0,0.806,0.728
stu165,2140,1,0,0.636,0.576,1,0.859,0.774,0,0.850,0.767,0,0.500,0.500,0,0.785,0.709,0,0.761,0.687,0,0.806,0.728
stu165,2147,0,0,0.636,0.576,0,0.859,0.774,1,0.448,0.780,0,0.500,0.500,0,0.785,0.709,0,0.761,0.687,0,0.806,0.728
stu165,2148,1,0,0.636,0.576,0,0.859,0.774,1,0.503,0.458,0,0.500,0.500,0,0.785,0.709,0,0.761,0.687,0,0.806,0.728
stu165,2199,1,0,0.636,0.576,0,0.859,0.774,0,0.503,0.458,0,0.500,0.500,0,0.785,0.709,0,0.761,0.687,1,0.826,0.745
stu165,2202,1,0,0.636,0.576,0,0.859,0.774,1,0.553,0.502,0,0.500,0.500,0,0.785,0.709,0,0.761,0.687,1,0.843,0.761
stu165,2267,1,0,0.636,0.576,0,0.859,0.774,1,0.597,0.542,0,0.500,0.500,0,0.785,0.709,0,0.761,0.687,0,0.843,0.761
stu165,2274,1,0,0.636,0.576,0,0.859,0.774,1,0.638,0.578,0,0.500,0.500,0,0.785,0.709,0,0.761,0.687,0,0.843,0.761
stu165,2301,0,0,0.636,0.576,0,0.859,0.774,1,0.247,0.610,0,0.500,0.500,0,0.785,0.709,0,0.761,0.687,0,0.843,0.761
stu165,2308,1,0,0.636,0.576,0,0.859,0.774,1,0.322,0.298,0,0.500,0.500,0,0.785,0.709,0,0.761,0.687,0,0.843,0.761
stu165,2310,1,0,0.636,0.576,0,0.859,0.774,1,0.390,0.358,0,0.500,0.500,0,0.785,0.709,0,0.761,0.687,0,0.843,0.761
stu165,2430,0,0,0.636,0.576,0,0.859,0.774,1,0.160,0.412,0,0.500,0.500,0,0.785,0.709,0,0.761,0.687,0,0.843,0.761
stu165,2431,1,0,0.636,0.576,0,0.859,0.774,1,0.244,0.228,0,0.500,0.500,0,0.785,0.709,0,0.761,0.687,0,0.843,0.761
stu165,2434,1,0,0.636,0.576,0,0.859,0.774,0,0.244,0.228,0,0.500,0.500,0,0.785,0.709,1,0.785,0.709,0,0.843,0.761
stu165,2441,0,0,0.636,0.576,0,0.859,0.774,0,0.244,0.228,0,0.500,0.500,0,0.785,0.709,1,0.359,0.728,0,0.843,0.761
stu165,2448,1,0,0.636,0.576,0,0.859,0.774,0,0.244,0.228,0,0.500,0.500,0,0.785,0.709,1,0.424,0.388,0,0.843,0.761
stu165,2460,1,0,0.636,0.576,0,0.859,0.774,0,0.244,0.228,0,0.500,0.500,0,0.785,0.709,0,0.424,0.388,1,0.859,0.774
stu165,2467,0,0,0.636,0.576,0,0.859,0.774,0,0.244,0.228,0,0.500,0.500,0,0.785,0.709,0,0.424,0.388,1,0.463,0.787
stu165,2476,1,0,0.636,0.576,0,0.859,0.774,0,0.244,0.228,0,0.500,0.500,0,0.785,0.709,1,0.481,0.439,1,0.517,0.470
stu165,2477,1,0,0.636,0.576,0,0.859,0.774,1,0.319,0.295,0,0.500,0.500,0,0.785,0.709,0,0.481,0.439,0,0.517,0.470
