Student,StepID,Correct,KC_1,P(L)1,P(C)1,KC_27,P(L)27,P(C)27,KC_24,P(L)24,P(C)24,KC_14,P(L)14,P(C)14,KC_22,P(L)22,P(C)22,KC_20,P(L)20,P(C)20,KC_21,P(L)21,P(C)21
stu133,478,0,0,0.500,0.500,1,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500
stu133,484,1,0,0.500,0.500,1,0.550,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500
stu133,485,1,0,0.500,0.500,1,0.595,0.540,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500
stu133,507,0,0,0.500,0.500,0,0.595,0.540,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,1,0.190,0.500,0,0.500,0.500
stu133,538,1,0,0.500,0.500,0,0.595,0.540,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.190,0.500,1,0.550,0.500
stu133,593,0,0,0.500,0.500,0,0.595,0.540,0,0.500,0.500,0,0.500,0.500,1,0.190,0.500,0,0.190,0.500,0,0.550,0.500
stu133,597,1,0,0.500,0.500,0,0.595,0.540,0,0.500,0.500,0,0.500,0.500,1,0.271,0.252,0,0.190,0.500,0,0.550,0.500
stu133,688,1,0,0.500,0.500,0,0.595,0.540,0,0.500,0.500,0,0.500,0.500,1,0.344,0.317,0,0.190,0.500,0,0.550,0.500
stu133,698,1,0,0.500,0.500,0,0.595,0.540,0,0.500,0.500,0,0.500,0.500,1,0.410,0.375,0,0.190,0.500,0,0.550,0.500
stu133,712,1,0,0.500,0.500,0,0.595,0.540,0,0.500,0.500,0,0.500,0.500,0,0.410,0.375,0,0.190,0.500,1,0.595,0.540
stu133,740,1,0,0.500,0.500,0,0.595,0.540,1,0.550,0.500,0,0.500,0.500,0,0.410,0.375,0,0.190,0.500,0,0.595,0.540
stu133,757,1,0,0.500,0.500,0,0.595,0.540,1,0.595,0.540,0,0.500,0.500,0,0.410,0.375,0,0.190,0.500,0,0.595,0.540
stu133,797,1,0,0.500,0.500,0,0.595,0.540,0,0.595,0.540,0,0.500,0.500,0,0.410,0.375,1,0.271,0.252,0,0.595,0.540
stu133,800,1,0,0.500,0.500,0,0.595,0.540,0,0.595,0.540,0,0.500,0.500,0,0.410,0.375,0,0.271,0.252,1,0.636,0.576
stu133,808,1,0,0.500,0.500,0,0.595,0.540,0,0.595,0.540,0,0.500,0.500,0,0.410,0.375,0,0.271,0.252,1,0.672,0.608
stu133,863,1,0,0.500,0.500,0,0.595,0.540,0,0.595,0.540,0,0.500,0.500,1,0.469,0.428,0,0.271,0.252,0,0.672,0.608
stu133,904,1,0,0.500,0.500,0,0.595,0.540,1,0.636,0.576,0,0.500,0.500,0,0.469,0.428,0,0.271,0.252,0,0.672,0.608
stu133,928,0,0,0.500,0.500,0,0.595,0.540,0,0.636,0.576,0,0.500,0.500,1,0.180,0.475,0,0.271,0.252,0,0.672,0.608
stu133,974,1,0,0.500,0.500,0,0.595,0.540,1,0.672,0.608,0,0.500,0.500,0,0.180,0.475,0,0.271,0.252,0,0.672,0.608
stu133,986,1,0,0.500,0.500,0,0.595,0.540,0,0.672,0.608,0,0.500,0.500,0,0.180,0.475,0,0.271,0.252,1,0.705,0.638
