Student,StepID,Correct,KC_1,P(L)1,P(C)1,KC_27,P(L)27,P(C)27,KC_24,P(L)24,P(C)24,KC_14,P(L)14,P(C)14,KC_22,P(L)22,P(C)22,KC_20,P(L)20,P(C)20,KC_21,P(L)21,P(C)21
stu15,467,0,0,0.500,0.500,0,0.500,0.500,1,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500
stu15,477,1,0,0.500,0.500,1,0.550,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500
stu15,484,1,0,0.500,0.500,1,0.595,0.540,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500
stu15,485,1,0,0.500,0.500,1,0.636,0.576,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500
stu15,486,1,0,0.500,0.500,0,0.636,0.576,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,1,0.550,0.500,0,0.500,0.500
stu15,494,1,0,0.500,0.500,0,0.636,0.576,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.550,0.500,1,0.550,0.500
stu15,499,1,0,0.500,0.500,0,0.636,0.576,0,0.500,0.500,0,0.500,0.500,1,0.550,0.500,0,0.550,0.500,0,0.550,0.500
stu15,507,0,0,0.500,0.500,0,0.636,0.576,0,0.500,0.500,0,0.500,0.500,0,0.550,0.500,1,0.208,0.540,0,0.550,0.500
stu15,518,1,0,0.500,0.500,0,0.636,0.576,0,0.500,0.500,0,0.500,0.500,0,0.550,0.500,1,0.287,0.266,0,0.550,0.500
stu15,531,1,0,0.500,0.500,0,0.636,0.576,0,0.500,0.500,0,0.500,0.500,0,0.550,0.500,1,0.358,0.329,0,0.550,0.500
stu15,545,1,0,0.500,0.500,0,0.636,0.576,0,0.500,0.500,0,0.500,0.500,0,0.550,0.500,0,0.358,0.329,1,0.595,0.540
stu15,546,0,0,0.500,0.500,0,0.636,0.576,0,0.500,0.500,0,0.500,0.500,0,0.550,0.500,0,0.358,0.329,1,0.226,0.576
stu15,549,1,0,0.500,0.500,0,0.636,0.576,0,0.500,0.500,0,0.500,0.500,0,0.550,0.500,0,0.358,0.329,1,0.304,0.281
stu15,550,1,0,0.500,0.500,0,0.636,0.576,0,0.500,0.500,0,0.500,0.500,0,0.550,0.500,0,0.358,0.329,1,0.373,0.343
stu15,553,1,0,0.500,0.500,0,0.636,0.576,0,0.500,0.500,0,0.500,0.500,0,0.550,0.500,0,0.358,0.329,1,0.436,0.399
stu15,585,1,0,0.500,0.500,0,0.636,0.576,0,0.500,0.500,0,0.500,0.500,1,0.595,0.540,0,0.358,0.329,0,0.436,0.399
stu15,592,1,0,0.500,0.500,0,0.636,0.576,0,0.500,0.500,0,0.500,0.500,1,0.636,0.576,0,0.358,0.329,0,0.436,0.399
stu15,593,0,0,0.500,0.500,0,0.636,0.576,0,0.500,0.500,0,0.500,0.500,1,0.246,0.608,0,0.358,0.329,0,0.436,0.399
stu15,596,1,0,0.500,0.500,0,0.636,0.576,0,0.500,0.500,0,0.500,0.500,1,0.321,0.297,0,0.358,0.329,0,0.436,0.399
stu15,597,1,0,0.500,0.500,0,0.636,0.576,0,0.500,0.500,0,0.500,0.500,1,0.389,0.357,0,0.358,0.329,0,0.436,0.399
stu15,599,1,0,0.500,0.500,0,0.636,0.576,0,0.500,0.500,0,0.500,0.500,1,0.450,0.411,0,0.358,0.329,0,0.436,0.399
stu15,601,1,0,0.500,0.500,0,0.636,0.576,0,0.500,0.500,0,0.500,0.500,1,0.505,0.460,0,0.358,0.329,0,0.436,0.399
stu15,621,1,0,0.500,0.500,0,0.636,0.576,0,0.500,0.500,0,0.500,0.500,1,0.555,0.504,0,0.358,0.329,0,0.436,0.399
stu15,626,1,0,0.500,0.500,0,0.636,0.576,1,0.550,0.500,0,0.500,0.500,0,0.555,0.504,0,0.358,0.329,0,0.436,0.399
stu15,686,1,0,0.500,0.500,0,0.636,0.576,0,0.550,0.500,0,0.500,0.500,1,0.599,0.544,0,0.358,0.329,0,0.436,0.399
stu15,688,1,0,0.500,0.500,0,0.636,0.576,0,0.550,0.500,0,0.500,0.500,1,0.639,0.579,0,0.358,0.329,0,0.436,0.399
stu15,698,1,0,0.500,0.500,0,0.636,0.576,0,0.550,0.500,0,0.500,0.500,1,0.675,0.612,0,0.358,0.329,0,0.436,0.399
stu15,700,1,0,0.500,0.500,1,0.672,0.608,0,0.550,0.500,0,0.500,0.500,0,0.675,0.612,0,0.358,0.329,0,0.436,0.399
stu15,704,1,0,0.500,0.500,1,0.705,0.638,0,0.550,0.500,0,0.500,0.500,0,0.675,0.612,0,0.358,0.329,0,0.436,0.399
stu15,709,1,0,0.500,0.500,0,0.705,0.638,0,0.550,0.500,0,0.500,0.500,0,0.675,0.612,0,0.358,0.329,1,0.492,0.449
stu15,733,0,0,0.500,0.500,0,0.705,0.638,1,0.208,0.540,0,0.500,0.500,0,0.675,0.612,0,0.358,0.329,0,0.492,0.449
stu15,738,1,0,0.500,0.500,0,0.705,0.638,1,0.287,0.266,0,0.500,0.500,0,0.675,0.612,0,0.358,0.329,0,0.492,0.449
stu15,743,1,0,0.500,0.500,0,0.705,0.638,1,0.358,0.329,0,0.500,0.500,0,0.675,0.612,0,0.358,0.329,0,0.492,0.449
