Student,StepID,Correct,KC_1,P(L)1,P(C)1,KC_27,P(L)27,P(C)27,KC_24,P(L)24,P(C)24,KC_14,P(L)14,P(C)14,KC_22,P(L)22,P(C)22,KC_20,P(L)20,P(C)20,KC_21,P(L)21,P(C)21
stu2,477,1,0,0.500,0.500,1,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500
stu2,484,1,0,0.500,0.500,1,0.550,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500
stu2,485,1,0,0.500,0.500,1,0.595,0.540,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500
stu2,497,1,0,0.500,0.500,0,0.595,0.540,0,0.500,0.500,0,0.500,0.500,1,0.550,0.500,0,0.500,0.500,0,0.500,0.500
stu2,507,0,0,0.500,0.500,0,0.595,0.540,0,0.500,0.500,0,0.500,0.500,0,0.550,0.500,1,0.190,0.500,0,0.500,0.500
stu2,518,1,0,0.500,0.500,0,0.595,0.540,0,0.500,0.500,0,0.500,0.500,0,0.550,0.500,1,0.271,0.252,0,0.500,0.500
stu2,531,1,0,0.500,0.500,0,0.595,0.540,0,0.500,0.500,0,0.500,0.500,0,0.550,0.500,1,0.344,0.317,0,0.500,0.500
stu2,538,1,0,0.500,0.500,0,0.595,0.540,0,0.500,0.500,0,0.500,0.500,0,0.550,0.500,0,0.344,0.317,1,0.550,0.500
stu2,545,1,0,0.500,0.500,0,0.595,0.540,0,0.500,0.500,0,0.500,0.500,0,0.550,0.500,0,0.344,0.317,1,0.595,0.540
stu2,585,1,0,0.500,0.500,0,0.595,0.540,0,0.500,0.500,0,0.500,0.500,1,0.595,0.540,0,0.344,0.317,0,0.595,0.540
stu2,592,1,0,0.500,0.500,0,0.595,0.540,0,0.500,0.500,0,0.500,0.500,1,0.636,0.576,0,0.344,0.317,0,0.595,0.540
stu2,599,1,0,0.500,0.500,0,0.595,0.540,0,0.500,0.500,0,0.500,0.500,1,0.672,0.608,0,0.344,0.317,0,0.595,0.540
stu2,626,1,0,0.500,0.500,0,0.595,0.540,1,0.550,0.500,0,0.500,0.500,0,0.672,0.608,0,0.344,0.317,0,0.595,0.540
stu2,630,1,0,0.500,0.500,0,0.595,0.540,1,0.595,0.540,0,0.500,0.500,0,0.672,0.608,0,0.344,0.317,0,0.595,0.540
stu2,686,1,0,0.500,0.500,0,0.595,0.540,0,0.595,0.540,0,0.500,0.500,1,0.705,0.638,0,0.344,0.317,0,0.595,0.540
stu2,689,0,0,0.500,0.500,0,0.595,0.540,0,0.595,0.540,0,0.500,0.500,1,0.289,0.664,0,0.344,0.317,0,0.595,0.540
stu2,693,1,0,0.500,0.500,0,0.595,0.540,0,0.595,0.540,0,0.500,0.500,1,0.360,0.331,0,0.344,0.317,0,0.595,0.540
stu2,698,1,0,0.500,0.500,0,0.595,0.540,0,0.595,0.540,0,0.500,0.500,1,0.424,0.388,0,0.344,0.317,0,0.595,0.540
stu2,700,1,0,0.500,0.500,1,0.636,0.576,0,0.595,0.540,0,0.500,0.500,0,0.424,0.388,0,0.344,0.317,0,0.595,0.540
stu2,709,1,0,0.500,0.500,0,0.636,0.576,0,0.595,0.540,0,0.500,0.500,0,0.424,0.388,0,0.344,0.317,1,0.636,0.576
stu2,729,1,0,0.500,0.500,0,0.636,0.576,1,0.636,0.576,0,0.500,0.500,0,0.424,0.388,0,0.344,0.317,0,0.636,0.576
stu2,733,0,0,0.500,0.500,0,0.636,0.576,1,0.246,0.608,0,0.500,0.500,0,0.424,0.388,0,0.344,0.317,0,0.636,0.576
stu2,734,1,0,0.500,0.500,0,0.636,0.576,1,0.321,0.297,0,0.500,0.500,0,0.424,0.388,0,0.344,0.317,0,0.636,0.576
stu2,738,1,0,0.500,0.500,0,0.636,0.576,1,0.389,0.357,0,0.500,0.500,0,0.424,0.388,0,0.344,0.317,0,0.636,0.576
stu2,740,1,0,0.500,0.500,0,0.636,0.576,1,0.450,0.411,0,0.500,0.500,0,0.424,0.388,0,0.344,0.317,0,0.636,0.576
stu2,743,1,0,0.500,0.500,0,0.636,0.576,1,0.505,0.460,0,0.500,0.500,0,0.424,0.388,0,0.344,0.317,0,0.636,0.576
stu2,757,1,0,0.500,0.500,0,0.636,0.576,1,0.555,0.504,0,0.500,0.500,0,0.424,0.388,0,0.344,0.317,0,0.636,0.576
stu2,774,1,0,0.500,0.500,0,0.636,0.576,0,0.555,0.504,0,0.500,0.500,0,0.424,0.388,1,0.410,0.375,0,0.636,0.576
stu2,800,1,0,0.500,0.500,0,0.636,0.576,0,0.555,0.504,0,0.500,0.500,0,0.424,0.388,0,0.410,0.375,1,0.672,0.608
stu2,804,1,0,0.500,0.500,0,0.636,0.576,0,0.555,0.504,0,0.500,0.500,0,0.424,0.388,0,0.410,0.375,1,0.705,0.638
stu2,808,1,0,0.500,0.500,0,0.636,0.576,0,0.555,0.504,0,0.500,0.500,0,0.424,0.388,0,0.410,0.375,1,0.734,0.664
stu2,863,1,0,0.500,0.500,0,0.636,0.576,0,0.555,0.504,0,0.500,0.500,1,0.481,0.439,0,0.410,0.375,0,0.734,0.664
stu2,869,1,0,0.500,0.500,0,0.636,0.576,0,0.555,0.504,0,0.500,0.500,1,0.533,0.485,0,0.410,0.375,0,0.734,0.664
stu2,902,1,0,0.500,0.500,0,0.636,0.576,1,0.599,0.544,0,0.500,0.500,0,0.533,0.485,0,0.410,0.375,1,0.761,0.687
stu2,904,1,0,0.500,0.500,0,0.636,0.576,1,0.639,0.579,0,0.500,0.500,0,0.533,0.485,0,0.410,0.375,0,0.761,0.687
stu2,925,1,0,0.500,0.500,0,0.636,0.576,0,0.639,0.579,0,0.500,0.500,1,0.580,0.527,0,0.410,0.375,0,0.761,0.687
stu2,927,1,0,0.500,0.500,0,0.636,0.576,0,0.639,0.579,0,0.500,0.500,1,0.622,0.564,0,0.410,0.375,0,0.761,0.687
stu2,933,0,0,0.500,0.500,1,0.246,0.608,0,0.639,0.579,0,0.500,0.500,0,0.622,0.564,0,0.410,0.375,0,0.761,0.687
stu2,936,1,0,0.500,0.500,0,0.246,0.608,0,0.639,0.579,0,0.500,0.500,0,0.622,0.564,1,0.469,0.428,0,0.761,0.687
stu2,937,0,0,0.500,0.500,0,0.246,0.608,0,0.639,0.579,0,0.500,0.500,0,0.622,0.564,1,0.180,0.475,0,0.761,0.687
stu2,939,1,0,0.500,0.500,1,0.321,0.297,0,0.639,0.579,0,0.500,0.500,0,0.622,0.564,0,0.180,0.475,0,0.761,0.687
stu2,954,1,0,0.500,0.500,1,0.389,0.357,0,0.639,0.579,0,0.500,0.500,0,0.622,0.564,0,0.180,0.475,0,0.761,0.687
stu2,972,1,0,0.500,0.500,0,0.389,0.357,1,0.675,0.612,0,0.500,0.500,0,0.622,0.564,0,0.180,0.475,0,0.761,0.687
stu2,977,1,0,0.500,0.500,0,0.389,0.357,1,0.708,0.640,0,0.500,0.500,0,0.622,0.564,0,0.180,0.475,0,0.761,0.687
stu2,984,1,0,0.500,0.500,0,0.389,0.357,1,0.737,0.666,0,0.500,0.500,0,0.622,0.564,0,0.180,0.475,1,0.785,0.709
stu2,992,1,0,0.500,0.500,0,0.389,0.357,1,0.763,0.690,0,0.500,0.500,0,0.622,0.564,0,0.180,0.475,0,0.785,0.709
stu2,1111,1,0,0.500,0.500,0,0.389,0.357,0,0.763,0.690,0,0.500,0.500,0,0.622,0.564,0,0.180,0.475,1,0.806,0.728
stu2,1113,1,0,0.500,0.500,0,0.389,0.357,0,0.763,0.690,0,0.500,0.500,0,0.622,0.564,0,0.180,0.475,1,0.826,0.745
stu2,1116,1,0,0.500,0.500,0,0.389,0.357,0,0.763,0.690,0,0.500,0.500,0,0.622,0.564,0,0.180,0.475,1,0.843,0.761
stu2,1282,1,0,0.500,0.500,0,0.389,0.357,0,0.763,0.690,0,0.500,0.500,1,0.660,0.598,0,0.180,0.475,0,0.843,0.761
stu2,1303,1,0,0.500,0.500,0,0.389,0.357,0,0.763,0.690,0,0.500,0.500,0,0.660,0.598,1,0.262,0.244,0,0.843,0.761
stu2,1308,1,0,0.500,0.500,0,0.389,0.357,1,0.787,0.711,0,0.500,0.500,0,0.660,0.598,1,0.336,0.310,0,0.843,0.761
stu2,1311,0,0,0.500,0.500,0,0.389,0.357,1,0.362,0.730,0,0.500,0.500,0,0.660,0.598,0,0.336,0.310,0,0.843,0.761
stu2,1312,1,0,0.500,0.500,0,0.389,0.357,1,0.426,0.390,0,0.500,0.500,0,0.660,0.598,0,0.336,0.310,0,0.843,0.761
stu2,1313,1,0,0.500,0.500,0,0.389,0.357,1,0.483,0.441,0,0.500,0.500,0,0.660,0.598,0,0.336,0.310,0,0.843,0.761
stu2,1314,1,0,0.500,0.500,1,0.450,0.411,0,0.483,0.441,0,0.500,0.500,0,0.660,0.598,0,0.336,0.310,0,0.843,0.761
stu2,1327,1,0,0.500,0.500,0,0.450,0.411,1,0.535,0.487,0,0.500,0.500,0,0.660,0.598,0,0.336,0.310,0,0.843,0.761
stu2,1328,0,0,0.500,0.500,0,0.450,0.411,1,0.202,0.528,0,0.500,0.500,0,0.660,0.598,0,0.336,0.310,0,0.843,0.761
stu2,1356,1,0,0.500,0.500,0,0.450,0.411,1,0.282,0.262,0,0.500,0.500,0,0.660,0.598,0,0.336,0.310,0,0.843,0.761
stu2,1414,1,0,0.500,0.500,0,0.450,0.411,0,0.282,0.262,0,0.500,0.500,0,0.660,0.598,1,0.402,0.369,0,0.843,0.761
stu2,1415,1,0,0.500,0.500,0,0.450,0.411,1,0.354,0.325,0,0.500,0.500,0,0.660,0.598,0,0.402,0.369,0,0.843,0.761
stu2,1416,1,0,0.500,0.500,0,0.450,0.411,1,0.418,0.383,0,0.500,0.500,0,0.660,0.598,0,0.402,0.369,0,0.843,0.761
stu2,1442,1,0,0.500,0.500,0,0.450,0.411,0,0.418,0.383,0,0.500,0.500,1,0.694,0.628,0,0.402,0.369,1,0.859,0.774
stu2,1490,1,1,0.550,0.500,0,0.450,0.411,0,0.418,0.383,0,0.500,0.500,0,0.694,0.628,0,0.402,0.369,0,0.859,0.774
stu2,1492,0,1,0.208,0.540,0,0.450,0.411,0,0.418,0.383,0,0.500,0.500,0,0.694,0.628,0,0.402,0.369,0,0.859,0.774
stu2,1494,1,1,0.287,0.266,0,0.450,0.411,0,0.418,0.383,0,0.500,0.500,0,0.694,0.628,0,0.402,0.369,0,0.859,0.774
stu2,1497,1,1,0.358,0.329,0,0.450,0.411,0,0.418,0.383,0,0.500,0.500,0,0.694,0.628,0,0.402,0.369,0,0.859,0.774
stu2,1499,1,1,0.422,0.387,0,0.450,0.411,0,0.418,0.383,0,0.500,0.500,0,0.694,0.628,0,0.402,0.369,0,0.859,0.774
stu2,1558,1,0,0.422,0.387,1,0.505,0.460,0,0.418,0.383,0,0.500,0.500,0,0.694,0.628,0,0.402,0.369,0,0.859,0.774
stu2,1732,1,0,0.422,0.387,0,0.505,0.460,0,0.418,0.383,0,0.500,0.500,0,0.694,0.628,0,0.402,0.369,1,0.873,0.787
stu2,1735,1,0,0.422,0.387,0,0.505,0.460,0,0.418,0.383,0,0.500,0.500,0,0.694,0.628,0,0.402,0.369,1,0.886,0.798
stu2,1863,1,0,0.422,0.387,0,0.505,0.460,1,0.476,0.435,0,0.500,0.500,0,0.694,0.628,0,0.402,0.369,0,0.886,0.798
stu2,1864,1,0,0.422,0.387,0,0.505,0.460,1,0.529,0.481,0,0.500,0.500,0,0.694,0.628,0,0.402,0.369,0,0.886,0.798
stu2,1867,1,0,0.422,0.387,0,0.505,0.460,1,0.576,0.523,0,0.500,0.500,0,0.694,0.628,0,0.402,0.369,0,0.886,0.798
stu2,1873,1,0,0.422,0.387,0,0.505,0.460,1,0.618,0.561,0,0.500,0.500,0,0.694,0.628,0,0.402,0.369,0,0.886,0.798
stu2,1876,1,0,0.422,0.387,0,0.505,0.460,1,0.656,0.595,0,0.500,0.500,0,0.694,0.628,0,0.402,0.369,0,0.886,0.798
stu2,1899,1,0,0.422,0.387,0,0.505,0.460,0,0.656,0.595,0,0.500,0.500,0,0.694,0.628,1,0.462,0.422,0,0.886,0.798
stu2,1902,1,0,0.422,0.387,0,0.505,0.460,0,0.656,0.595,0,0.500,0.500,0,0.694,0.628,1,0.516,0.470,0,0.886,0.798
stu2,1906,1,0,0.422,0.387,0,0.505,0.460,0,0.656,0.595,0,0.500,0.500,0,0.694,0.628,1,0.564,0.513,0,0.886,0.798
stu2,1908,1,0,0.422,0.387,0,0.505,0.460,0,0.656,0.595,0,0.500,0.500,0,0.694,0.628,1,0.608,0.552,0,0.886,0.798
stu2,1913,1,0,0.422,0.387,0,0.505,0.460,0,0.656,0.595,0,0.500,0.500,0,0.694,0.628,1,0.647,0.586,0,0.886,0.798
stu2,1921,1,0,0.422,0.387,0,0.505,0.460,0,0.656,0.595,0,0.500,0.500,0,0.694,0.628,1,0.682,0.618,0,0.886,0.798
stu2,1957,1,0,0.422,0.387,0,0.505,0.460,0,0.656,0.595,0,0.500,0.500,0,0.694,0.628,1,0.714,0.646,0,0.886,0.798
stu2,1966,1,0,0.422,0.387,0,0.505,0.460,0,0.656,0.595,0,0.500,0.500,0,0.694,0.628,0,0.714,0.646,1,0.897,0.808
stu2,1968,1,0,0.422,0.387,0,0.505,0.460,0,0.656,0.595,0,0.500,0.500,0,0.694,0.628,0,0.714,0.646,1,0.907,0.818
stu2,1977,1,0,0.422,0.387,0,0.505,0.460,0,0.656,0.595,0,0.500,0.500,0,0.694,0.628,0,0.714,0.646,1,0.917,0.826
stu2,1980,1,0,0.422,0.387,0,0.505,0.460,0,0.656,0.595,0,0.500,0.500,0,0.694,0.628,0,0.714,0.646,1,0.925,0.833
stu2,1985,1,0,0.422,0.387,0,0.505,0.460,0,0.656,0.595,0,0.500,0.500,0,0.694,0.628,0,0.714,0.646,1,0.932,0.840
stu2,1987,1,0,0.422,0.387,0,0.505,0.460,0,0.656,0.595,0,0.500,0.500,0,0.694,0.628,0,0.714,0.646,1,0.939,0.846
stu2,1994,1,0,0.422,0.387,0,0.505,0.460,0,0.656,0.595,0,0.500,0.500,0,0.694,0.628,0,0.714,0.646,1,0.945,0.851
