Student,StepID,Correct,KC_1,P(L)1,P(C)1,KC_27,P(L)27,P(C)27,KC_24,P(L)24,P(C)24,KC_14,P(L)14,P(C)14,KC_22,P(L)22,P(C)22,KC_20,P(L)20,P(C)20,KC_21,P(L)21,P(C)21
stu30,436,0,1,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500
stu30,462,1,0,0.500,0.500,0,0.500,0.500,1,0.550,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500
stu30,467,0,0,0.500,0.500,0,0.500,0.500,1,0.208,0.540,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500
stu30,477,1,0,0.500,0.500,1,0.550,0.500,0,0.208,0.540,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500
stu30,481,1,0,0.500,0.500,1,0.595,0.540,0,0.208,0.540,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500
stu30,484,1,0,0.500,0.500,1,0.636,0.576,0,0.208,0.540,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500
stu30,485,1,0,0.500,0.500,1,0.672,0.608,0,0.208,0.540,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500
stu30,488,1,0,0.500,0.500,0,0.672,0.608,0,0.208,0.540,0,0.500,0.500,0,0.500,0.500,1,0.550,0.500,0,0.500,0.500
stu30,489,1,0,0.500,0.500,0,0.672,0.608,0,0.208,0.540,0,0.500,0.500,0,0.500,0.500,1,0.595,0.540,0,0.500,0.500
stu30,494,1,0,0.500,0.500,0,0.672,0.608,0,0.208,0.540,0,0.500,0.500,0,0.500,0.500,0,0.595,0.540,1,0.550,0.500
stu30,495,0,0,0.500,0.500,0,0.672,0.608,0,0.208,0.540,0,0.500,0.500,0,0.500,0.500,0,0.595,0.540,1,0.208,0.540
stu30,499,1,0,0.500,0.500,0,0.672,0.608,0,0.208,0.540,0,0.500,0.500,1,0.550,0.500,0,0.595,0.540,0,0.208,0.540
stu30,507,0,0,0.500,0.500,0,0.672,0.608,0,0.208,0.540,0,0.500,0.500,0,0.550,0.500,1,0.226,0.576,0,0.208,0.540
stu30,522,0,0,0.500,0.500,0,0.672,0.608,0,0.208,0.540,0,0.500,0.500,0,0.550,0.500,1,0.128,0.281,0,0.208,0.540
stu30,524,1,0,0.500,0.500,0,0.672,0.608,0,0.208,0.540,0,0.500,0.500,0,0.550,0.500,1,0.215,0.203,0,0.208,0.540
stu30,531,1,0,0.500,0.500,0,0.672,0.608,0,0.208,0.540,0,0.500,0.500,0,0.550,0.500,1,0.294,0.272,0,0.208,0.540
stu30,538,1,0,0.500,0.500,0,0.672,0.608,0,0.208,0.540,0,0.500,0.500,0,0.550,0.500,0,0.294,0.272,1,0.287,0.266
stu30,546,0,0,0.500,0.500,0,0.672,0.608,0,0.208,0.540,0,0.500,0.500,0,0.550,0.500,0,0.294,0.272,1,0.139,0.329
stu30,549,1,0,0.500,0.500,0,0.672,0.608,0,0.208,0.540,0,0.500,0.500,0,0.550,0.500,0,0.294,0.272,1,0.225,0.211
stu30,550,1,0,0.500,0.500,0,0.672,0.608,0,0.208,0.540,0,0.500,0.500,0,0.550,0.500,0,0.294,0.272,1,0.302,0.280
stu30,553,1,0,0.500,0.500,0,0.672,0.608,0,0.208,0.540,0,0.500,0.500,0,0.550,0.500,0,0.294,0.272,1,0.372,0.342
stu30,557,0,0,0.500,0.500,0,0.672,0.608,0,0.208,0.540,0,0.500,0.500,0,0.550,0.500,0,0.294,0.272,1,0.156,0.398
